,찗옷,챶,콪초
0,2015,KIA,10.8
1,2015,KT,15.666666666666666
2,2015,LG,19.666666666666668
3,2015,NC,35.333333333333336
4,2015,SK,21.75
5,2015,왍,23.25
6,2015,온,23.0
7,2015,庸,68.33333333333333
8,2015,콣,29.333333333333332
9,2015,홛,19.0
10,2016,KIA,20.75
11,2016,KT,23.0
12,2016,LG,20.666666666666668
13,2016,NC,16.166666666666668
14,2016,SK,35.5
15,2016,왍,23.5
16,2016,온,13.8
17,2016,庸,22.5
18,2016,콣,46.5
19,2016,홛,15.666666666666666
20,2017,KIA,24.5
21,2017,KT,28.666666666666668
22,2017,LG,14.833333333333334
23,2017,NC,14.666666666666666
24,2017,SK,27.25
25,2017,왍,21.25
26,2017,온,29.6
27,2017,庸,24.8
28,2017,콣,49.75
29,2017,홛,21.0
30,2018,KIA,28.333333333333332
31,2018,KT,17.666666666666668
32,2018,LG,25.333333333333332
33,2018,NC,18.25
34,2018,SK,30.5
35,2018,왍,52.0
36,2018,온,41.666666666666664
37,2018,庸,14.0
38,2018,콣,43.0
39,2018,홛,33.0
40,2019,KIA,32.666666666666664
41,2019,KT,23.4
42,2019,LG,16.0
43,2019,NC,20.0
44,2019,SK,9.4
45,2019,왍,21.5
46,2019,온,15.75
47,2019,庸,16.5
48,2019,콣,45.333333333333336
49,2019,홛,12.4
50,2020,KIA,9.333333333333334
51,2020,KT,11.0
52,2020,LG,14.0
53,2020,NC,11.0
54,2020,SK,3.0
55,2020,왍,12.5
56,2020,온,11.5
57,2020,庸,13.8
58,2020,콣,30.0
59,2020,홛,7.75
