,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1,2015,박병호,키움,1루수,131,131,1124.3333333333333,12,0,1113,93,103,0.99,0,0,0,0.0,0.34299999999999997,622,528,129,181,35,1,53,377,146,0,4
8,2015,윤석민,키움,1루수,8,7,61.0,1,0,52,5,4,0.983,0,0,0,0.0,0.294,418,361,54,106,24,1,14,174,71,5,7
23,2015,서동욱,키움,1루수,13,6,63.0,0,0,62,3,6,1.0,0,0,0,0.0,0.233,118,103,14,24,5,0,3,38,15,1,0
29,2015,유재신,키움,1루수,14,0,22.66666666666667,1,0,24,2,4,0.963,0,0,0,0.0,0.259,32,27,21,7,2,0,0,9,3,2,0
34,2015,임병욱,키움,1루수,7,0,15.0,0,0,11,0,2,1.0,0,0,0,0.0,0.18600000000000003,52,43,13,8,1,1,1,14,3,0,0
44,2015,김현수,두산,1루수,35,20,211.33333333333331,0,0,186,10,18,1.0,0,0,0,0.0,0.326,630,512,103,167,26,0,28,277,121,0,9
52,2015,오재일,두산,1루수,64,50,449.0,3,0,445,27,56,0.9940000000000001,0,0,0,0.0,0.289,213,180,33,52,11,1,14,107,36,1,2
57,2015,김재환,두산,1루수,32,31,252.33333333333331,2,0,237,16,26,0.992,0,0,0,0.0,0.235,180,153,24,36,8,0,7,65,22,1,2
58,2015,로메로,두산,1루수,32,31,245.33333333333331,4,0,234,13,14,0.9840000000000001,0,0,0,0.0,0.253,305,265,30,67,16,0,12,119,50,0,7
63,2015,고영민,두산,1루수,20,9,88.0,2,0,72,9,8,0.976,0,0,0,0.0,0.32799999999999996,77,67,13,22,1,0,3,32,11,0,1
74,2015,김진형,두산,1루수,6,0,15.0,0,0,14,1,3,1.0,0,0,0,0.0,0.16699999999999998,21,18,3,3,2,0,1,8,2,0,0
77,2015,루츠,두산,1루수,2,2,12.333333333333336,0,0,12,1,0,1.0,0,0,0,0.0,0.111,30,27,2,3,0,0,1,6,3,0,1
83,2015,박종윤,롯데,1루수,91,80,692.6666666666665,4,0,729,44,57,0.995,0,0,0,0.0,0.255,326,314,29,80,11,3,4,109,28,1,1
92,2015,오승택,롯데,1루수,42,19,202.66666666666663,5,0,213,13,22,0.978,0,0,0,0.0,0.275,353,327,57,90,18,1,8,134,43,4,1
98,2015,김대우,롯데,1루수,28,22,172.0,2,0,175,12,15,0.9890000000000001,0,0,0,0.0,0.174,100,92,9,16,1,1,3,28,9,2,0
104,2015,손용석,롯데,1루수,16,9,77.0,0,0,74,3,11,1.0,0,0,0,0.0,0.217,74,69,4,15,2,0,0,17,2,4,0
107,2015,강동수,롯데,1루수,11,0,13.666666666666664,0,0,14,0,2,1.0,0,0,0,0.0,0.125,8,8,2,1,0,0,0,1,0,0,0
109,2015,오윤석,롯데,1루수,11,3,36.333333333333336,0,0,34,2,3,1.0,0,0,0,0.0,0.273,36,33,7,9,1,0,1,13,3,1,0
113,2015,최준석,롯데,1루수,6,5,35.666666666666664,0,0,29,1,4,1.0,0,0,0,0.0,0.306,618,507,78,155,18,1,31,268,109,1,1
117,2015,박해민,삼성,1루수,21,6,83.0,0,0,61,5,5,1.0,0,0,0,0.0,0.293,608,525,96,154,22,7,0,190,47,23,2
126,2015,구자욱,삼성,1루수,90,62,590.6666666666666,8,0,498,22,41,0.985,0,0,0,0.0,0.349,465,410,97,143,33,5,11,219,57,0,4
131,2015,채태인,삼성,1루수,78,73,568.0,4,0,483,29,42,0.992,0,0,0,0.0,0.348,373,333,35,116,19,0,8,159,49,0,4
149,2015,김정혁,삼성,1루수,6,2,22.66666666666667,0,0,14,6,2,1.0,0,0,0,0.0,0.16699999999999998,20,18,3,3,0,0,0,3,1,1,0
152,2015,강봉규,삼성,1루수,2,1,10.0,0,0,13,0,1,1.0,0,0,0,0.0,0.0,8,6,0,0,0,0,0,0,0,0,0
162,2015,김태균,한화,1루수,95,94,760.3333333333335,9,0,755,59,74,0.9890000000000001,0,0,0,0.0,0.316,524,408,61,129,28,0,21,220,104,1,5
165,2015,권용관,한화,1루수,23,9,95.33333333333331,2,0,78,10,3,0.978,0,0,0,0.0,0.22,341,296,32,65,8,1,5,90,22,17,1
169,2015,김경언,한화,1루수,19,9,105.66666666666669,0,0,88,10,17,1.0,0,0,0,0.0,0.337,437,377,58,127,21,1,16,198,78,5,3
174,2015,이성열,한화,1루수,1,0,5.0,0,0,6,0,1,1.0,0,0,0,0.0,0.25,268,232,35,58,10,2,9,99,36,5,2
179,2015,김회성,한화,1루수,41,20,198.33333333333331,2,0,185,13,22,0.99,0,0,0,0.0,0.209,268,225,36,47,10,2,16,109,35,3,2
183,2015,신성현,한화,1루수,27,10,98.66666666666669,0,0,97,7,5,1.0,0,0,0,0.0,0.225,117,102,17,23,3,0,4,38,17,2,0
198,2015,필,KIA,1루수,137,133,1091.6666666666667,8,0,1043,90,117,0.993,0,0,0,0.0,0.325,591,536,81,174,35,1,22,277,101,0,9
234,2015,고영우,KIA,1루수,10,0,19.666666666666668,0,0,12,1,2,1.0,0,0,0,0.0,0.154,57,52,17,8,2,0,1,13,4,1,0
236,2015,김주형,KIA,1루수,15,5,59.0,0,0,37,3,4,1.0,0,0,0,0.0,0.22899999999999998,88,83,2,19,3,0,2,28,3,0,0
249,2015,장성우,KT,1루수,8,6,48.33333333333334,1,0,49,4,2,0.981,0,0,0,0.0,0.284,491,433,55,123,20,1,13,184,77,3,9
252,2015,신명철,KT,1루수,76,36,346.66666666666674,2,0,317,26,42,0.9940000000000001,0,0,0,0.0,0.209,168,134,12,28,2,2,2,40,18,6,1
253,2015,김상현,KT,1루수,67,60,512.6666666666666,9,0,468,48,52,0.983,0,0,0,0.0,0.28,539,475,71,133,20,0,27,234,88,0,6
262,2015,댄블랙,KT,1루수,38,38,279.3333333333333,4,0,264,10,33,0.986,0,0,0,0.0,0.33299999999999996,225,198,25,66,10,1,12,114,32,0,0
278,2015,조중근,KT,1루수,15,5,64.0,1,0,56,3,5,0.983,0,0,0,0.0,0.222,39,36,4,8,0,0,1,11,2,0,0
279,2015,장성호,KT,1루수,8,3,41.0,0,0,45,0,4,1.0,0,0,0,0.0,0.309,114,94,11,29,4,0,1,36,16,0,1
284,2015,박지규,LG,1루수,10,0,17.0,0,0,13,2,1,1.0,0,0,0,0.0,0.205,189,171,22,35,8,1,0,45,12,4,1
288,2015,정성훈,LG,1루수,74,66,544.6666666666666,2,0,571,27,66,0.997,0,0,0,0.0,0.284,440,363,47,103,16,1,9,148,45,6,4
292,2015,양석환,LG,1루수,59,38,363.0,5,0,384,27,48,0.988,0,0,0,0.0,0.26,384,358,36,93,22,1,8,141,48,5,3
308,2015,문선재,LG,1루수,27,7,86.66666666666669,0,0,101,5,7,1.0,0,0,0,0.0,0.226,245,212,27,48,13,1,5,78,27,6,1
311,2015,김용의,LG,1루수,22,11,94.66666666666669,1,0,79,6,8,0.988,0,0,0,0.0,0.251,199,171,30,43,5,1,0,50,15,3,0
319,2015,한나한,LG,1루수,13,13,92.0,1,0,66,8,13,0.987,0,0,0,0.0,0.327,126,107,17,35,9,0,4,56,22,1,3
322,2015,최승준,LG,1루수,8,8,64.66666666666667,0,0,63,4,6,1.0,0,0,0,0.0,0.077,31,26,0,2,0,0,0,2,1,0,1
328,2015,테임즈,NC,1루수,125,125,1010.0,4,0,934,70,88,0.996,0,0,0,0.0,0.381,595,472,130,180,42,5,47,373,140,0,7
339,2015,모창민,NC,1루수,6,2,30.0,1,0,30,0,2,0.968,0,0,0,0.0,0.29,239,214,23,62,14,0,6,94,35,4,3
340,2015,조영훈,NC,1루수,56,17,215.33333333333331,4,0,209,15,22,0.982,0,0,0,0.0,0.282,146,124,20,35,8,0,8,67,35,1,2
347,2015,최재원,NC,1루수,6,0,13.0,0,0,16,3,2,1.0,0,0,0,0.0,0.247,102,85,31,21,8,0,2,35,13,1,0
353,2015,조평호,NC,1루수,7,0,11.0,0,0,7,1,4,1.0,0,0,0,0.0,0.364,22,22,4,8,2,0,1,13,3,0,0
361,2015,박정권,SK,1루수,117,112,973.6666666666665,8,0,897,78,83,0.992,0,0,0,0.0,0.281,494,438,66,123,23,0,21,209,70,4,2
365,2015,브라운,SK,1루수,25,20,178.33333333333337,0,0,183,10,20,1.0,0,0,0,0.0,0.261,539,464,82,121,21,2,28,230,76,0,2
382,2015,박진만,SK,1루수,10,6,59.0,0,0,52,5,7,1.0,0,0,0,0.0,0.248,162,133,12,33,5,0,2,44,14,2,0
391,2015,박윤,SK,1루수,14,6,69.66666666666667,1,0,68,8,6,0.987,0,0,0,0.0,0.111,29,27,1,3,0,0,0,3,0,1,0
407,2016,채태인,키움,1루수,68,62,518.6666666666666,3,0,506,30,49,0.9940000000000001,0,0,0,0.0,0.28600000000000003,417,370,29,106,14,3,7,147,72,0,9
409,2016,대니돈,키움,1루수,51,40,356.66666666666674,2,0,316,13,28,0.9940000000000001,0,0,0,0.0,0.295,497,417,65,123,33,1,16,206,70,1,4
417,2016,유재신,키움,1루수,7,0,10.666666666666666,0,0,7,0,1,1.0,0,0,0,0.0,0.258,74,62,20,16,0,0,0,16,6,2,0
420,2016,윤석민,키움,1루수,37,34,303.3333333333333,5,0,286,14,21,0.9840000000000001,0,0,0,0.0,0.33399999999999996,402,341,72,114,15,0,19,186,80,0,6
430,2016,홍성갑,키움,1루수,6,1,18.0,0,0,17,2,0,1.0,0,0,0,0.0,0.226,68,62,4,14,0,1,0,16,7,0,0
431,2016,장영석,키움,1루수,9,4,37.0,2,0,34,2,4,0.9470000000000001,0,0,0,0.0,0.192,33,26,6,5,2,0,0,7,3,0,0
436,2016,박윤,키움,1루수,6,2,26.0,0,0,24,2,1,1.0,0,0,0,0.0,0.091,12,11,0,1,0,0,0,1,0,0,0
440,2016,오재원,두산,1루수,3,1,11.0,0,0,11,0,2,1.0,0,0,0,0.0,0.272,484,416,68,113,18,1,5,148,58,3,6
442,2016,김재환,두산,1루수,3,2,20.33333333333333,0,0,12,3,1,1.0,0,0,0,0.0,0.325,568,492,107,160,32,3,37,309,124,0,5
445,2016,오재일,두산,1루수,102,96,853.0,7,0,840,55,100,0.992,0,0,0,0.0,0.316,455,380,69,120,20,2,27,225,92,2,7
452,2016,에반스,두산,1루수,47,45,367.0,2,0,351,20,38,0.995,0,0,0,0.0,0.308,481,400,69,123,31,0,24,226,81,0,7
455,2016,류지혁,두산,1루수,20,0,29.33333333333333,1,0,30,0,0,0.968,0,0,0,0.0,0.28800000000000003,134,118,34,34,5,0,3,48,9,2,1
482,2016,김상호,롯데,1루수,93,88,738.0,5,0,697,43,87,0.993,0,0,0,0.0,0.29,415,366,39,106,20,0,7,147,56,2,5
486,2016,박종윤,롯데,1루수,57,45,407.33333333333326,3,0,403,43,31,0.993,0,0,0,0.0,0.282,211,195,24,55,5,1,1,65,17,3,1
503,2016,손용석,롯데,1루수,11,5,50.0,0,0,57,4,2,1.0,0,0,0,0.0,0.244,99,90,8,22,5,0,0,27,9,2,2
519,2016,박해민,삼성,1루수,37,25,230.66666666666663,0,0,170,23,18,1.0,0,0,0,0.0,0.3,641,564,109,169,26,12,4,231,61,22,3
520,2016,구자욱,삼성,1루수,105,105,904.0,7,0,845,59,84,0.992,0,0,0,0.0,0.34299999999999997,495,428,105,147,19,13,14,234,77,2,5
535,2016,발디리스,삼성,1루수,6,6,55.33333333333334,0,0,49,3,5,1.0,0,0,0,0.0,0.266,190,154,24,41,6,0,8,71,33,0,3
537,2016,김정혁,삼성,1루수,15,4,48.0,2,0,37,3,3,0.9520000000000001,0,0,0,0.0,0.23600000000000002,118,106,13,25,1,1,2,34,11,1,1
565,2016,로사리오,한화,1루수,72,69,580.0,6,0,496,49,46,0.9890000000000001,0,0,0,0.0,0.321,532,492,78,158,31,2,33,292,120,1,2
571,2016,김태균,한화,1루수,56,55,471.66666666666674,4,0,406,33,50,0.991,0,0,0,0.0,0.365,652,529,94,193,39,0,23,301,136,0,6
576,2016,신성현,한화,1루수,30,9,102.0,1,0,83,7,12,0.9890000000000001,0,0,0,0.0,0.278,184,158,30,44,8,0,8,76,24,6,0
588,2016,권용관,한화,1루수,6,0,6.0,0,0,2,1,0,1.0,0,0,0,0.0,0.25,49,44,7,11,2,1,0,15,3,1,0
590,2016,김회성,한화,1루수,10,5,56.0,0,0,58,3,9,1.0,0,0,0,0.0,0.2,58,45,12,9,0,0,1,12,8,0,2
594,2016,김태완,한화,1루수,7,0,12.0,0,0,12,2,1,1.0,0,0,0,0.0,0.35,24,20,3,7,1,1,0,10,0,0,0
596,2016,필,KIA,1루수,123,121,997.6666666666665,13,0,918,69,94,0.987,0,0,0,0.0,0.313,544,499,71,156,37,1,20,255,86,0,7
599,2016,서동욱,KIA,1루수,31,0,54.0,0,0,46,4,8,1.0,0,0,0,0.0,0.292,485,411,73,120,30,3,16,204,67,6,3
610,2016,김주형,KIA,1루수,39,19,178.0,0,0,152,9,18,1.0,0,0,0,0.0,0.281,387,345,43,97,16,1,19,172,49,1,1
635,2016,최원준,KIA,1루수,2,0,2.0,0,0,2,0,0,1.0,0,0,0,0.0,0.45799999999999996,25,24,5,11,1,0,1,15,4,1,0
648,2016,유민상,KT,1루수,78,56,447.0,5,0,406,24,44,0.9890000000000001,0,0,0,0.0,0.282,254,213,30,60,12,1,4,86,37,3,4
651,2016,김상현,KT,1루수,56,53,435.66666666666674,9,0,418,35,56,0.981,0,0,0,0.0,0.225,246,222,29,50,5,0,11,88,32,0,2
652,2016,김연훈,KT,1루수,43,12,174.0,2,0,172,8,12,0.9890000000000001,0,0,0,0.0,0.217,181,166,13,36,10,0,1,49,18,5,3
663,2016,문상철,KT,1루수,22,6,82.0,4,0,83,4,5,0.956,0,0,0,0.0,0.2,87,80,9,16,7,0,1,26,7,0,1
672,2016,남태혁,KT,1루수,14,13,100.33333333333331,4,0,92,8,17,0.9620000000000001,0,0,0,0.0,0.205,48,44,2,9,3,0,0,12,2,0,1
680,2016,정성훈,LG,1루수,105,88,729.6666666666665,4,0,743,43,71,0.995,0,0,0,0.0,0.322,418,370,58,119,22,1,6,161,64,5,5
693,2016,김용의,LG,1루수,39,23,188.66666666666663,0,0,194,14,18,1.0,0,0,0,0.0,0.318,347,308,62,98,18,4,1,127,20,4,0
695,2016,양석환,LG,1루수,59,32,340.0,4,0,331,20,34,0.9890000000000001,0,0,0,0.0,0.276,215,203,24,56,10,1,6,86,37,3,2
716,2016,서상우,LG,1루수,11,1,24.0,0,0,27,1,4,1.0,0,0,0,0.0,0.252,137,111,18,28,5,0,4,45,12,0,0
721,2016,테임즈,NC,1루수,114,111,905.0,4,0,803,52,88,0.995,0,0,0,0.0,0.321,529,436,118,140,30,3,40,296,121,0,7
730,2016,조영훈,NC,1루수,73,31,360.33333333333326,5,0,342,24,28,0.987,0,0,0,0.0,0.335,207,179,29,60,14,0,5,89,35,1,3
738,2016,모창민,NC,1루수,3,2,17.0,0,0,16,1,0,1.0,0,0,0,0.0,0.331,147,133,16,44,8,0,5,67,20,1,3
756,2016,박정권,SK,1루수,118,107,918.0,6,0,947,91,91,0.9940000000000001,0,0,0,0.0,0.27699999999999997,468,422,59,117,17,3,18,194,59,2,4
777,2016,최승준,SK,1루수,41,25,237.66666666666663,2,0,240,19,30,0.992,0,0,0,0.0,0.266,231,199,31,53,5,0,19,115,42,0,1
780,2016,박승욱,SK,1루수,4,2,20.0,0,0,20,2,0,1.0,0,0,0,0.0,0.276,103,87,19,24,4,1,3,39,13,4,1
787,2016,최정용,SK,1루수,5,0,9.0,0,0,11,1,1,1.0,0,0,0,0.0,0.29600000000000004,61,54,10,16,1,1,0,19,2,4,0
791,2016,나주환,SK,1루수,8,8,58.0,0,0,67,9,10,1.0,0,0,0,0.0,0.386,65,57,13,22,2,0,5,39,12,3,0
793,2016,김기현,SK,1루수,5,1,14.0,0,0,24,1,0,1.0,0,0,0,0.0,0.188,17,16,3,3,1,0,0,4,0,0,0
805,2017,채태인,키움,1루수,63,59,487.33333333333326,6,0,472,26,38,0.988,0,0,0,0.0,0.322,384,342,46,110,23,1,12,171,62,0,3
813,2017,장영석,키움,1루수,39,33,275.6666666666667,4,0,258,10,25,0.985,0,0,0,0.0,0.26899999999999996,212,186,30,50,14,0,12,100,38,0,0
821,2017,송성문,키움,1루수,16,3,48.66666666666666,1,0,44,2,4,0.9790000000000001,0,0,0,0.0,0.273,90,77,11,21,0,1,1,26,8,1,1
822,2017,김웅빈,키움,1루수,16,10,89.0,2,0,76,3,8,0.975,0,0,0,0.0,0.252,142,135,18,34,8,0,3,51,19,0,0
825,2017,김태완,키움,1루수,9,2,30.0,1,0,27,2,1,0.9670000000000001,0,0,0,0.0,0.311,100,90,14,28,5,0,4,45,7,0,0
826,2017,박윤,키움,1루수,7,4,37.0,0,0,35,0,2,1.0,0,0,0,0.0,0.313,18,16,2,5,1,0,0,6,0,0,0
831,2017,대니돈,키움,1루수,5,4,37.0,0,0,27,2,2,1.0,0,0,0,0.0,0.14,57,50,5,7,2,0,1,12,2,0,0
838,2017,오재원,두산,1루수,9,3,34.0,0,0,36,1,2,1.0,0,0,0,0.0,0.237,390,334,43,79,16,1,7,118,40,4,3
839,2017,오재일,두산,1루수,107,90,809.0,5,0,782,43,76,0.9940000000000001,0,0,0,0.0,0.306,466,412,62,126,27,0,26,231,89,1,3
848,2017,류지혁,두산,1루수,8,0,18.0,0,0,17,0,1,1.0,0,0,0,0.0,0.259,330,297,60,77,13,4,3,107,26,8,0
852,2017,에반스,두산,1루수,46,46,373.66666666666674,0,0,371,26,40,1.0,0,0,0,0.0,0.29600000000000004,581,514,82,152,19,0,27,252,90,0,3
858,2017,국해성,두산,1루수,4,0,9.333333333333334,0,0,7,1,1,1.0,0,0,0,0.0,0.209,96,86,15,18,3,0,3,30,17,0,1
864,2017,신성현,두산,1루수,14,9,71.0,0,0,64,11,9,1.0,0,0,0,0.0,0.16399999999999998,72,67,5,11,2,1,1,18,7,1,1
870,2017,김민혁,두산,1루수,7,1,18.0,0,0,16,0,0,1.0,0,0,0,0.0,0.19,21,21,1,4,2,0,0,6,2,0,0
876,2017,김문호,롯데,1루수,4,1,12.333333333333336,1,0,11,2,1,0.929,0,0,0,0.0,0.292,448,390,49,114,17,1,2,139,35,7,1
877,2017,이대호,롯데,1루수,116,114,935.6666666666665,8,0,898,59,92,0.992,0,0,0,0.0,0.32,608,540,73,173,13,0,34,288,111,0,3
896,2017,김상호,롯데,1루수,40,7,132.0,0,0,129,9,11,1.0,0,0,0,0.0,0.228,114,101,7,23,3,1,0,28,7,0,0
900,2017,황진수,롯데,1루수,15,0,29.66666666666667,0,0,31,2,3,1.0,0,0,0,0.0,0.29100000000000004,133,117,18,34,6,2,1,47,16,2,1
905,2017,정훈,롯데,1루수,11,3,32.666666666666664,1,0,27,2,4,0.9670000000000001,0,0,0,0.0,0.248,136,109,16,27,8,2,1,42,6,3,1
906,2017,최준석,롯데,1루수,20,18,143.0,1,0,134,9,11,0.993,0,0,0,0.0,0.29100000000000004,464,409,43,119,15,0,14,176,82,0,5
918,2017,러프,삼성,1루수,109,109,936.0,7,0,827,71,96,0.992,0,0,0,0.0,0.315,591,515,90,162,38,0,31,293,124,0,4
926,2017,조동찬,삼성,1루수,19,7,79.0,0,0,73,3,8,1.0,0,0,0,0.0,0.289,393,353,35,102,23,0,10,155,46,4,4
940,2017,이승엽,삼성,1루수,20,15,141.0,2,0,150,10,16,0.988,0,0,0,0.0,0.28,533,472,65,132,30,5,24,244,87,0,8
942,2017,김정혁,삼성,1루수,12,7,62.66666666666666,0,0,66,3,8,1.0,0,0,0,0.0,0.27399999999999997,91,84,15,23,5,0,0,28,13,0,1
949,2017,최영진,삼성,1루수,6,0,9.0,0,0,6,1,1,1.0,0,0,0,0.0,0.2,22,20,4,4,0,2,1,11,4,1,0
952,2017,로사리오,한화,1루수,105,102,883.3333333333335,10,0,831,53,95,0.9890000000000001,0,0,0,0.0,0.33899999999999997,510,445,100,151,30,1,37,294,111,0,5
974,2017,김회성,한화,1루수,25,15,135.0,1,0,129,8,11,0.993,0,0,0,0.0,0.235,103,85,10,20,4,0,3,33,13,1,2
981,2017,김주현,한화,1루수,16,8,76.0,2,0,87,6,5,0.9790000000000001,0,0,0,0.0,0.265,43,34,3,9,2,0,0,11,3,0,0
985,2017,김태균,한화,1루수,12,12,103.66666666666669,1,0,100,5,13,0.991,0,0,0,0.0,0.34,407,356,51,121,22,0,17,194,76,0,4
1000,2017,김주찬,KIA,1루수,88,75,635.6666666666666,5,0,572,43,71,0.992,0,0,0,0.0,0.309,478,440,78,136,39,2,12,215,70,2,1
1003,2017,서동욱,KIA,1루수,85,56,512.6666666666666,0,0,490,29,58,1.0,0,0,0,0.0,0.282,366,319,49,90,21,1,7,134,48,8,3
1007,2017,김주형,KIA,1루수,15,8,56.0,0,0,48,3,7,1.0,0,0,0,0.0,0.17,116,106,11,18,5,0,0,23,10,0,1
1018,2017,최원준,KIA,1루수,17,5,59.0,1,0,52,3,1,0.982,0,0,0,0.0,0.308,174,156,27,48,15,0,3,72,27,3,3
1035,2017,오태곤,KT,1루수,83,64,573.3333333333334,4,0,579,34,53,0.9940000000000001,0,0,0,0.0,0.28300000000000003,410,374,53,106,29,1,9,164,42,8,6
1047,2017,윤석민,KT,1루수,51,42,379.33333333333326,0,0,355,24,45,1.0,0,0,0,0.0,0.312,586,538,90,168,30,1,20,260,105,0,7
1052,2017,김동욱,KT,1루수,39,28,238.33333333333331,4,0,212,16,20,0.983,0,0,0,0.0,0.287,223,209,28,60,9,0,4,81,24,0,5
1058,2017,모넬,KT,1루수,25,23,195.66666666666663,4,0,200,12,29,0.981,0,0,0,0.0,0.165,105,85,10,14,4,0,2,24,9,0,2
1065,2017,남태혁,KT,1루수,10,5,39.333333333333336,2,0,32,1,4,0.943,0,0,0,0.0,0.25,68,60,8,15,1,0,2,22,11,0,1
1067,2017,유민상,KT,1루수,10,5,40.0,0,0,40,1,3,1.0,0,0,0,0.0,0.233,33,30,4,7,1,0,1,11,2,0,0
1069,2017,윤요섭,KT,1루수,7,4,32.0,1,0,27,1,2,0.966,0,0,0,0.0,0.231,43,39,6,9,1,0,2,16,6,0,0
1075,2017,양석환,LG,1루수,55,39,365.33333333333326,0,0,370,36,39,1.0,0,0,0,0.0,0.263,496,445,62,117,27,3,14,192,83,2,5
1082,2017,정성훈,LG,1루수,76,56,439.33333333333326,5,0,397,26,43,0.988,0,0,0,0.0,0.312,321,276,32,86,14,0,6,118,30,1,2
1085,2017,김재율,LG,1루수,55,30,316.6666666666667,2,0,278,22,25,0.993,0,0,0,0.0,0.304,198,181,21,55,9,0,6,82,28,4,1
1104,2017,로니,LG,1루수,17,17,140.0,1,0,130,9,9,0.993,0,0,0,0.0,0.278,93,79,7,22,5,0,3,36,12,0,2
1111,2017,서상우,LG,1루수,5,1,14.0,0,0,10,2,0,1.0,0,0,0,0.0,0.077,17,13,4,1,0,0,1,4,2,0,0
1117,2017,스크럭스,NC,1루수,98,98,867.6666666666665,9,0,791,43,83,0.9890000000000001,0,0,0,0.0,0.3,518,437,91,131,24,0,35,260,111,0,4
1133,2017,모창민,NC,1루수,44,34,283.0,1,0,272,16,24,0.997,0,0,0,0.0,0.312,527,474,64,148,25,3,17,230,90,3,9
1146,2017,조평호,NC,1루수,13,3,47.0,0,0,37,1,5,1.0,0,0,0,0.0,0.22699999999999998,52,44,4,10,3,0,1,16,4,1,0
1149,2017,조영훈,NC,1루수,13,9,73.0,1,0,83,6,9,0.9890000000000001,0,0,0,0.0,0.15,46,40,1,6,2,0,1,11,3,1,0
1159,2017,박정권,SK,1루수,103,81,692.0,7,0,667,67,75,0.991,0,0,0,0.0,0.256,345,305,37,78,14,1,16,142,51,0,5
1169,2017,나주환,SK,1루수,17,9,75.0,0,0,66,4,6,1.0,0,0,0,0.0,0.29100000000000004,452,419,69,122,24,1,19,205,65,8,1
1174,2017,한동민,SK,1루수,13,6,62.0,3,0,65,4,5,0.958,0,0,0,0.0,0.294,414,350,64,103,21,2,29,215,73,0,3
1176,2017,로맥,SK,1루수,49,32,306.3333333333333,1,0,323,16,29,0.997,0,0,0,0.0,0.242,416,359,58,87,19,0,31,199,64,0,1
1192,2017,최승준,SK,1루수,17,12,101.0,1,0,93,3,15,0.99,0,0,0,0.0,0.233,98,90,11,21,4,0,6,43,16,0,0
1204,2018,박병호,키움,1루수,101,101,841.6666666666665,11,0,821,57,77,0.988,0,0,0,0.0,0.345,488,400,88,138,20,0,43,287,112,0,3
1208,2018,김규민,키움,1루수,19,14,112.33333333333331,3,0,108,2,16,0.973,0,0,0,0.0,0.295,336,298,47,88,9,2,3,110,40,1,4
